Booked,Confirmed,Status,Type,Payment ID,Transaction ID,Payment gateway,Wallet address,Trading account,Price,Final amount,Final currency,Transaction amount,Transaction currency,Settlement amount,Settlement currency,Processing fee,Tier fee,Total fee,Balance after,Comment
2025-08-01T08:56:00.643073Z,2025-08-01T08:55:52Z,DONE,DEPOSIT,231d0072-9c0c-4d5d-ac02-a4bd6ed01b18,0x664d054ef2e75502175f4d9526c161711281b9f1bc012bdca955a4257191bd82,USDT BEP20,0x8e7651e21c67e24ca2a5eb7692cd043631e73764,9c2lng87,1,800,USB,800,USB,800,USB,0,5.6,5.6,1221.14,
2025-08-03T10:44:40.649222Z,2025-08-03T10:44:40.599253Z,DONE,WITHDRAW,93e70d6d-fd6d-4553-acb8-fcf81d9f0be5,60ad0f5606a3db25e78d1f042f5613a33e886e8924ddabe28a85b80fa6417d57,USDT TRC20,TWbP294ySLBdBeFKHpUQmvYTKhfhLubJfD,ja8eygpu,1,100,USX,100,USX,100,USX,0,2.5,2.5,2509.38,
